epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
56,1014.77,1.67717,1.21778,1.24113,0.6949,0.41758,0.48337,0.20178,2.11244,1.68368,1.54218,0.000911,0.000911,0.000911
57,1031.37,1.63376,1.18446,1.2256,0.74686,0.48352,0.52349,0.24077,2.07571,1.49746,1.51367,0.0008912,0.0008912,0.0008912
58,1048.23,1.67687,1.20782,1.23983,0.68458,0.54945,0.5619,0.23643,2.12676,1.51094,1.59131,0.0008714,0.0008714,0.0008714
59,1064.64,1.67961,1.19682,1.23871,0.83293,0.48352,0.56434,0.26295,1.99242,1.40238,1.50662,0.0008516,0.0008516,0.0008516
60,1081.05,1.64946,1.17472,1.2243,0.67673,0.52911,0.55257,0.23632,2.02455,1.48761,1.47615,0.0008318,0.0008318,0.0008318
61,1097.57,1.62691,1.16023,1.21444,0.68238,0.51942,0.53351,0.23798,2.0079,1.56486,1.48373,0.000812,0.000812,0.000812
62,1115.49,1.64977,1.14592,1.19551,0.73821,0.46154,0.51582,0.23243,1.98894,1.54118,1.4974,0.0007922,0.0007922,0.0007922
63,1132.18,1.65638,1.17292,1.21685,0.81793,0.49369,0.53561,0.25605,1.95577,1.59556,1.45844,0.0007724,0.0007724,0.0007724
64,1149.62,1.6114,1.15293,1.21937,0.70748,0.52747,0.56113,0.25279,1.96109,1.56407,1.44429,0.0007526,0.0007526,0.0007526
65,1167.94,1.59617,1.10672,1.19551,0.77406,0.50549,0.52743,0.24168,1.97288,1.59075,1.46524,0.0007328,0.0007328,0.0007328
66,1186.58,1.6278,1.12206,1.21526,0.69179,0.51648,0.51529,0.22328,2.04713,1.52907,1.53523,0.000713,0.000713,0.000713
67,1203.8,1.58018,1.10445,1.17715,0.75146,0.53165,0.55311,0.22805,2.079,1.53088,1.50706,0.0006932,0.0006932,0.0006932
68,1221.99,1.56811,1.05837,1.19702,0.82941,0.43956,0.53552,0.22447,1.983,1.58824,1.46385,0.0006734,0.0006734,0.0006734
69,1240.6,1.57591,1.09984,1.18786,0.72815,0.49451,0.50179,0.21497,2.07611,1.64153,1.53094,0.0006536,0.0006536,0.0006536
70,1259.17,1.55495,1.08505,1.19052,0.85698,0.53846,0.58487,0.25093,2.08078,1.52257,1.50718,0.0006338,0.0006338,0.0006338
71,1279.03,1.5436,1.06649,1.16863,0.76616,0.50549,0.54922,0.23284,2.12703,1.51132,1.53543,0.000614,0.000614,0.000614
72,1298.55,1.56144,1.07526,1.16327,0.79879,0.47253,0.53772,0.24127,2.04299,1.52265,1.53085,0.0005942,0.0005942,0.0005942
73,1318.92,1.55276,1.07114,1.16992,0.76005,0.48352,0.52024,0.23485,1.9953,1.54937,1.48533,0.0005744,0.0005744,0.0005744
74,1336.04,1.51836,1.0374,1.15973,0.7431,0.51648,0.52696,0.21956,2.05461,1.55809,1.53947,0.0005546,0.0005546,0.0005546
